,Region,Track_Name,Rank,Artist,Cluster
277,gb,Holly Jolly Christmas,277,Michael Bublé,1
278,gb,Chasing Highs,278,ALMA,0
279,gb,One More Sleep,279,Leona Lewis,3
280,gb,Walk On Water (feat. Beyoncé),280,Eminem,3
281,gb,Shout Out to My Ex,281,Little Mix,0
282,gb,Naked,282,James Arthur,3
283,gb,Rain,283,mishlawi,1
284,gb,Bedroom Floor,284,Liam Payne,3
285,gb,Fall,285,Eminem,0
286,gb,Leave a Light On,286,Tom Walker,3
287,gb,"Bad (feat. Yungen, MoStack, Mr Eazi & Not3s)",287,Steel Banglez,0
288,gb,Black Beatles,288,Rae Sremmurd,3
289,gb,I Wish It Could Be Christmas Everyday,289,Wizzard,3
290,gb,...Ready For It?,290,Taylor Swift,3
291,gb,Never Enough,291,Loren Allred,2
292,gb,Text From Your Ex (feat. Tinashe),292,Tinie Tempah,0
293,gb,Love Me Now,293,John Legend,3
294,gb,"How Far I'll Go - From ""Moana""",294,Alessia Cara,2
295,gb,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,295,Paul McCartney,1
296,gb,Man Down (feat. AlunaGeorge),296,Shakka,0
297,gb,iSpy (feat. Lil Yachty),297,KYLE,1
298,gb,Jingle Bell Rock,298,Bobby Helms,2
299,gb,DNA.,299,Kendrick Lamar,1
300,gb,Check (with RAYE),300,Kojo Funds,3
301,gb,Shape of You - Stormzy Remix,301,Ed Sheeran,3
302,gb,Hearts Don't Break Around Here,302,Ed Sheeran,2
303,gb,Bibia Be Ye Ye,303,Ed Sheeran,0
304,gb,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",304,Rita Ora,0
305,gb,KMT,305,Drake,3
306,gb,I'm Upset,306,Drake,1
307,gb,Thunderclouds,307,Sia,3
308,gb,Fine Girl,308,ZieZie,1
309,gb,Without You (feat. Sandro Cavazza),309,Avicii,3
310,gb,Get Low (with Liam Payne),310,Zedd,0
311,gb,Eraser,311,Ed Sheeran,0
312,gb,Ocean (feat. Khalid),312,Martin Garrix,3
313,gb,Starving,313,Hailee Steinfeld,3
314,gb,Oops,314,Little Mix,0
315,gb,Dimelo - X Factor Recording,315,Rak-Su,0
316,gb,Don't Leave,316,Snakehips,3
317,gb,Kiss and Make Up,317,Dua Lipa,0
318,gb,Santa Baby,318,Kylie Minogue,0
319,gb,Side To Side,319,Ariana Grande,0
320,gb,Killshot,320,Eminem,1
321,gb,Sick Boy,321,The Chainsmokers,1
322,gb,Portland,322,Drake,1
323,gb,Get It Together,323,Drake,1
324,gb,Bed (feat. Ariana Grande),324,Nicki Minaj,0
